HDFC Banking and PSU Debt Fund - IDCW Option - Direct Plan	10.0359
HSBC Banking and PSU Debt Fund - Direct Daily IDCW	11.1907
HSBC Banking and PSU Debt Fund - Direct Growth	26.1931
HSBC Banking and PSU Debt Fund - Direct Monthly IDCW	11.3459
HSBC Banking and PSU Debt Fund - Direct Weekly IDCW	10.3502
HSBC Banking and PSU Debt Fund - Regular Daily IDCW	11.1160
HSBC Banking and PSU Debt Fund - Regular Growth	24.8401
HSBC Banking and PSU Debt Fund - Regular Monthly IDCW	10.5893
HSBC Banking and PSU Debt Fund - Regular Weekly IDCW	10.3230
ICICI Prudential Banking and PSU Debt Fund -  Daily IDCW	10.0549
ICICI Prudential Banking and PSU Debt Fund -  Weekly IDCW	10.2427
ICICI Prudential Banking and PSU Debt Fund - Bonus	15.8889
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Daily IDCW	10.2538
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Growth	34.9378
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Quarterly IDCW	13.0666
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Weekly IDCW	10.3708
ICICI Prudential Banking and PSU Debt Fund - Direct Plan Bonus	13.8665
ICICI Prudential Banking and PSU Debt Fund - Direct Plan Half Yearly IDCW Option	13.1098
ICICI Prudential Banking and PSU Debt Fund - Growth	33.4769
ICICI Prudential Banking and PSU Debt Fund - Quarterly IDCW	11.0585
ICICI Prudential Banking and PSU Debt Fund Half Yearly IDCW Option	12.9261
ICICI Prudential Banking and PSU Debt Fund Retail Daily Dividend	10.0122
ICICI Prudential Banking and PSU Debt Fund Retail Growth	21.631
ICICI Prudential Banking and PSU Debt Fund Retail Weekly Dividend	10.3305
Invesco India Banking and PSU Fund - Daily IDCW (Reinvestment)	1051.369
Invesco India Banking and PSU Fund - Direct Plan -  Growth Option	2481.3115
Invesco India Banking and PSU Fund - Direct Plan - Daily IDCW (Reinvestment)	1064.493
Invesco India Banking and PSU Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment)	1012.0381
Invesco India Banking and PSU Fund - Growth Option	2314.5502
Invesco India Banking and PSU Fund - Monthly IDCW (Payout / Reinvestment)	1063.026
ITI Banking & PSU Debt Fund - Direct Plan - Growth Option	13.6801
ITI Banking & PSU Debt Fund - Direct Plan - IDCW Option	13.6818
ITI Banking & PSU Debt Fund - Regular Plan - Growth Option	13.3056
ITI Banking & PSU Debt Fund - Regular Plan - IDCW Option	13.3067
Kotak Banking and PSU Debt - Growth	66.9186
Kotak Banking and PSU Debt - Monthly Payout of Income Distribution cum capital withdrawal option	12.5724
Kotak Banking and PSU Debt Direct - Annual Dividend	17.1427
Kotak Banking and PSU Debt Direct - Growth	69.8094
Kotak Banking and PSU Debt Direct - Monthly Payout of Income Distribution cum capital withdrawal option	10.287
LIC MF Banking & PSU Fund-Direct Plan-Daily IDCW	14.3176
LIC MF Banking & PSU Fund-Direct Plan-Growth	38.471
LIC MF Banking & PSU Fund-Direct Plan-Monthly IDCW	14.4886
LIC MF Banking & PSU Fund-Direct Plan-Weekly IDCW	10.0547
LIC MF Banking & PSU Fund-Regular Plan-Daily IDCW	11.4246
LIC MF Banking & PSU Fund-Regular Plan-Growth	35.6087
LIC MF Banking & PSU Fund-Regular Plan-Monthly IDCW	13.327
LIC MF Banking & PSU Fund-Regular Plan-Weekly IDCW	10.3874
Mirae Asset Banking and PSU Fund - Direct Plan - Growth	13.5450
Mirae Asset Banking and PSU Fund - Direct Plan - IDCW	13.5396
Mirae Asset Banking and PSU Fund - Regular Plan - Growth	13.2280
Mirae Asset Banking and PSU Fund - Regular plan - IDCW	13.2291
NIPPON INDIA BANKING and PSU  FUND - Direct Plan - IDCW Option	22.0613
NIPPON INDIA BANKING and PSU  FUND - WEEKLY IDCW Option	10.3869
Nippon India Banking and PSU  Fund- Direct Plan-Growth Plan- Growth Option	22.0613
NIPPON INDIA BANKING and PSU FUND - Direct Plan - MONTHLY IDCW Option	10.7728
NIPPON INDIA BANKING and PSU FUND - Direct Plan - QUARTERLY IDCW Option	10.9676
NIPPON INDIA BANKING and PSU FUND - Direct Plan - WEEKLY IDCW Option	10.3861
NIPPON INDIA BANKING and PSU FUND - IDCW Option	21.2296
NIPPON INDIA BANKING and PSU FUND - MONTHLY IDCW Option	10.7030
NIPPON INDIA BANKING and PSU FUND - QUARTERLY IDCW Option	10.9026
Nippon India Banking and PSU Fund- Direct Plan-Growth Plan- Bonus Option	22.0612
Nippon India Banking and PSU Fund- Growth Plan- Bonus Option	12.3452
Nippon India Banking and PSU Fund- Growth Plan- Growth Option	21.2296
SBI Banking & PSU Fund - Direct Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW)	1495.8303
SBI BANKING & PSU FUND - Direct Plan - Growth	3395.9665
SBI Banking & PSU Fund - Direct Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW)	1315.3832
SBI Banking & PSU Fund - Direct Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW)	1492.5070
SBI BANKING & PSU FUND - Regular Paln - Growth	3191.2093
SBI Banking & PSU Fund - Regular Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW)	1455.9177
SBI Banking & PSU Fund - Regular Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW)	1230.6280
SBI Banking & PSU Fund - Regular Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW)	1455.5714
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Growth	11.7065
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Monthly Dividend	11.4008
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Quarterly Dividend	10.6356
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Annual Bonus	11.6319
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Daily Dividend Reinvestment	11.6582
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Growth	11.6493
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Monthly Dividend	11.1411
